date,pollster,n,party,value
2026-01-10,INSA,1205,CDUCSU,0.24
2026-01-10,INSA,1205,AfD,0.26
2026-01-12,INSA,2010,CDUCSU,0.245
2026-01-12,INSA,2010,AfD,0.26
2026-01-13,Forsa,3004,CDUCSU,0.24
2026-01-13,Forsa,3004,AfD,0.26
2026-01-14,YouGov,1673,CDUCSU,0.25
2026-01-14,YouGov,1673,AfD,0.25
2026-01-16,Verian,1455,CDUCSU,0.26
2026-01-16,Verian,1455,AfD,0.25
2026-01-16,Forschungsgruppe Wahlen,1245,CDUCSU,0.26
2026-01-16,Forschungsgruppe Wahlen,1245,AfD,0.25
2026-01-17,INSA,1202,CDUCSU,0.25
2026-01-17,INSA,1202,AfD,0.26
2026-01-20,Forsa,2501,CDUCSU,0.25
2026-01-20,Forsa,2501,AfD,0.26
2026-01-20,INSA,2004,CDUCSU,0.25
2026-01-20,INSA,2004,AfD,0.26
2026-01-24,INSA,1204,CDUCSU,0.25
2026-01-24,INSA,1204,AfD,0.26
2026-01-27,Forsa,2501,CDUCSU,0.26
2026-01-27,Forsa,2501,AfD,0.24
2026-01-27,INSA,2008,CDUCSU,0.25
2026-01-27,INSA,2008,AfD,0.26
2026-01-31,Allensbach,1077,CDUCSU,0.27
2026-01-31,Allensbach,1077,AfD,0.25
2026-01-31,INSA,1204,CDUCSU,0.26
2026-01-31,INSA,1204,AfD,0.26
2026-02-03,Forsa,2503,CDUCSU,0.26
2026-02-03,Forsa,2503,AfD,0.24
2026-02-03,INSA,2006,CDUCSU,0.26
2026-02-03,INSA,2006,AfD,0.26
2026-02-05,Infratest dimap,1319,CDUCSU,0.26
2026-02-05,Infratest dimap,1319,AfD,0.24
2026-02-06,Forschungsgruppe Wahlen,1289,CDUCSU,0.26
2026-02-06,Forschungsgruppe Wahlen,1289,AfD,0.24
2026-02-07,INSA,1202,CDUCSU,0.25
2026-02-07,INSA,1202,AfD,0.26
2026-02-10,Forsa,2503,CDUCSU,0.26
2026-02-10,Forsa,2503,AfD,0.24
2026-02-10,INSA,2004,CDUCSU,0.255
2026-02-10,INSA,2004,AfD,0.26
2026-02-11,Verian,1472,CDUCSU,0.25
2026-02-11,Verian,1472,AfD,0.24
2026-02-11,YouGov,1657,CDUCSU,0.25
2026-02-11,YouGov,1657,AfD,0.25
2026-02-13,INSA,1202,CDUCSU,0.25
2026-02-13,INSA,1202,AfD,0.25
2026-02-16,INSA,2002,CDUCSU,0.255
2026-02-16,INSA,2002,AfD,0.255
2026-02-17,Forsa,2504,CDUCSU,0.26
2026-02-17,Forsa,2504,AfD,0.25
2026-02-22,INSA,1203,CDUCSU,0.25
2026-02-22,INSA,1203,AfD,0.25
2026-02-24,Forsa,2504,CDUCSU,0.26
2026-02-24,Forsa,2504,AfD,0.24
2026-02-24,INSA,2006,CDUCSU,0.25
2026-02-24,INSA,2006,AfD,0.25
2026-02-27,Forschungsgruppe Wahlen,1262,CDUCSU,0.26
2026-02-27,Forschungsgruppe Wahlen,1262,AfD,0.24
2026-02-28,INSA,1203,CDUCSU,0.26
2026-02-28,INSA,1203,AfD,0.25
2026-03-02,Allensbach,1052,CDUCSU,0.27
2026-03-02,Allensbach,1052,AfD,0.24
